Workout Name,Experience Level,Equipment Needed,Calories Burned per 30 min,Image
Push-ups,Beginner,No,100,https://ai-care.id/photos/Lifestyle/64e47448b315b.jpg
Squats,Beginner,No,120,https://liftmanual.com/wp-content/uploads/2023/04/squat-on-bosu-ball.jpg
Plank,Beginner,No,80,https://liftmanual.com/wp-content/uploads/2023/04/spider-plank.jpg
Dumbbell Bench Press,Moderate,Yes,150,https://liftmanual.com/wp-content/uploads/2023/04/dumbbell-twisting-bench-press.jpg
Yoga Sun Salutation,Beginner,No,90,https://c8.alamy.com/comp/2C7Y43X/beautiful-slim-woman-in-yoga-sun-salutation-sequence-poses-isolated-on-white-background-2C7Y43X.jpg
Jumping Jacks,Beginner,No,100,https://liftmanual.com/wp-content/uploads/2023/04/jumping-jack.jpg
Deadlifts,Expert,Yes,200,https://www.evolvefitstudios.com/uploads/1/0/2/9/102951852/deadlifts_orig.jpeg
HIIT Sprint Intervals,Expert,No,250,https://www.poliquingroup.com/Portals/0/Janelle/sprintramp.jpg
Pull-ups,Moderate,Yes,130,https://cdn.shopify.com/s/files/1/0705/5432/1194/files/mikolo-pull-ups-blog-2.png?v=1693468017
Bicep Curls,Beginner,Yes,120,https://anabolicaliens.com/cdn/shop/articles/images-min_300x.png?v=1650443414
Lunges,Beginner,No,110,https://trainingstation.co.uk/cdn/shop/articles/Lunges-movment_2000x.webp?v=1719507455
Mountain Climbers,Moderate,No,140,https://liftmanual.com/wp-content/uploads/2023/04/mountain-climber.jpg
Kettlebell Swings,Moderate,Yes,180,https://liftmanual.com/wp-content/uploads/2023/04/kettlebell-one-arm-swing.jpg
Burpees,Moderate,No,160,https://thebaldbrothers.com/wp-content/uploads/2019/12/Burpees-How-to-.jpg.webp
Pilates Roll-Up,Beginner,No,70,https://corebody.ca/wp-content/uploads/2022/06/pilates-roll-up.jpg
Bench Press,Expert,Yes,200,https://training.fit/wp-content/uploads/2018/11/bankdruecken-flachbank-langhantel.png
Rowing Machine,Moderate,Yes,220,https://images.squarespace-cdn.com/content/v1/5ffcea9416aee143500ea103/1638351904146-GDGXXL9IHXKQKTXULLHF/Seated%20Cable%20Row.jpeg
Jump Rope,Beginner,No,150,https://liftmanual.com/wp-content/uploads/2023/04/skip-jump-rope.jpg
Side Plank,Moderate,No,100,https://liftmanual.com/wp-content/uploads/2023/04/side-plank.jpg
Box Jumps,Expert,No,210,https://liftmanual.com/wp-content/uploads/2023/04/lateral-box-jump.jpg
Leg Press,Moderate,Yes,180,https://liftmanual.com/wp-content/uploads/2023/04/sled-45-leg-press.jpg
Cycling,Beginner,No,200,https://www.trainerroad.com/blog/wp-content/uploads/2021/11/benefits-of-cycling.jpg
Lat Pulldowns,Moderate,Yes,170,https://anabolicaliens.com/cdn/shop/articles/5f19b4eff633a10684ef6193_wide-grip-lat-pulldown-anabolic-aliens_500x.png?v=1644918521
Tricep Dips,Beginner,No,120,https://liftmanual.com/wp-content/uploads/2023/04/weighted-tricep-dips.jpg
High Knees,Beginner,No,140,https://liftmanual.com/wp-content/uploads/2023/04/high-knees-butt-kicks.jpg
Russian Twists,Moderate,No,100,https://liftmanual.com/wp-content/uploads/2023/04/russian-twist.jpg
Wall Sit,Beginner,No,90,https://www.inspireusafoundation.org/wp-content/uploads/2023/08/wall-sit-example-828x1024.png
Treadmill Running,Moderate,No,250,https://liftmanual.com/wp-content/uploads/2023/04/run-on-treadmill.jpg
Shoulder Press,Moderate,Yes,130,https://liftmanual.com/wp-content/uploads/2023/04/dumbbell-alternate-shoulder-press.jpg
Farmerâ€™s Walk,Moderate,No,170,https://liftmanual.com/wp-content/uploads/2023/04/farmers-walk.jpg
Battle Ropes,Expert,No,230,https://www.inspireusafoundation.org/wp-content/uploads/2021/06/battle-rope-1536x529.png
Zumba Dance,Beginner,No,180,https://ghc.health/cdn/shop/articles/Shake_off_Pounds_Zumba_Dance_for_Weight_Loss_720x.jpg
Swimming,Beginner,Yes,250,https://www.shape.com/thmb/Jg_VX_6NAhL76PCow1Szwj1Zhso=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/swim-workouts-every-level-2bc897b86adf4bcda8de8eb11fafcf84.jpg
Elliptical Machine,Beginner,Yes,200,https://images-na.ssl-images-amazon.com/images/I/61aAoPlo7yL._UL500_.jpg
Yoga Warrior Pose,Beginner,No,80,https://liftmanual.com/wp-content/uploads/2023/04/warrior-ii-yoga-pose.jpg
Cable Rows,Moderate,Yes,170,https://training.fit/wp-content/uploads/2020/02/rudern-kabelzug-800x448.png
Reverse Crunches,Beginner,No,90,https://i.pinimg.com/564x/73/79/0e/73790ed9e80f91c1dcd85d71778af752.jpg
Barbell Squats,Expert,Yes,240,https://liftmanual.com/wp-content/uploads/2023/04/barbell-bench-squat.jpg
Flutter Kicks,Beginner,No,100,https://liftmanual.com/wp-content/uploads/2023/04/seated-flutter-kick.jpg
Chin-ups,Moderate,No,150,https://kinxlearning.com/cdn/shop/files/shutterstock_418630567_1400x.jpg?v=1690650014
Overhead Dumbbell Press,Moderate,Yes,160,https://www.icfitnessclub.com/wp-content/uploads/2023/04/Standing-Overhead-Dumbbell-Shoulder-Press-1024x576.webp
Incline Push-ups,Beginner,No,80,https://www.meanmuscles.com/wp-content/uploads/2020/09/incline-push-ups.png
Wide-grip Pull-ups,Expert,Yes,200,https://images.squarespace-cdn.com/content/v1/55e406fbe4b0b03c5e7543ae/1492675509226-UN62WF2GA2XN2S4QGEPW/Assisted+Wide+Grip+Overhand+Chin-Ups
Dumbbell Lunges,Beginner,Yes,110,https://images.squarespace-cdn.com/content/v1/5ffcea9416aee143500ea103/1638425716168-GMKJB64MCPI0R9FWOB2U/Dumbbell%2BLunges.jpeg
Boxing,Moderate,No,140,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIMkOhD3pSKVCT5CIQRws8TxOWWUuyGm0eUw&s
Step-ups,Moderate,No,120,https://training.fit/wp-content/uploads/2020/03/aufsteiger-seitlich-kurzhantel.png
Pistol Squats,Expert,Yes,160,https://cdn.shopify.com/s/files/1/1497/9682/files/2_d9dbdc6a-9315-4f9e-be75-d1efc67e545f.jpg?v=1653564313
Hip Thrusts,Moderate,Yes,220,https://liftmanual.com/wp-content/uploads/2023/04/dumbbell-hip-thrust.jpg
Side Lunges,Beginner,No,100,https://training.fit/wp-content/uploads/2020/03/seitlicher-ausfallschritt-800x448.png
Arnold Press,Moderate,Yes,150,https://training.fit/wp-content/uploads/2020/03/arnold-press-2.png